"From.country","To.country","Jury.A","Jury.B","Jury.C","Jury.D","Jury.E","Jury.Rank","Televote.Rank","Jury.Points","Televote.Points"
"Albania","Belgium",20,16,24,22,24,25,14,NA,NA
"Albania","Czech Republic",21,15,25,23,16,22,22,NA,NA
"Albania","The Netherlands",22,14,23,24,21,24,24,NA,NA
"Albania","Azerbaijan",19,12,11,21,11,13,19,NA,NA
"Albania","Hungary",8,13,9,14,9,10,10,1,1
"Albania","Italy",4,10,3,7,2,3,2,8,10
"Albania","Israel",10,2,18,4,12,8,17,3,NA
"Albania","Bulgaria",11,3,6,13,6,7,3,4,8
"Albania","Sweden",16,8,15,6,15,11,8,NA,3
"Albania","Germany",18,17,20,11,17,18,15,NA,NA
"Albania","France",3,9,1,9,1,2,11,10,NA
"Albania","Poland",14,7,13,20,22,14,6,NA,5
"Albania","Australia",1,1,2,1,3,1,1,12,12
"Albania","Cyprus",25,11,21,25,20,23,12,NA,NA
"Albania","Serbia",15,26,12,15,19,19,26,NA,NA
"Albania","Lithuania",13,18,22,17,23,20,7,NA,4
"Albania","Croatia",24,19,16,18,18,21,20,NA,NA
"Albania","Russia",7,4,7,5,7,4,4,7,7
"Albania","Spain",9,5,4,12,4,5,23,6,NA
"Albania","Latvia",23,20,17,8,13,17,21,NA,NA
"Albania","Ukraine",17,25,8,2,8,12,5,NA,6
"Albania","Malta",5,21,5,16,5,9,16,2,NA
"Albania","Georgia",26,22,26,26,26,26,25,NA,NA
"Albania","Austria",6,23,19,19,14,16,13,NA,NA
"Albania","United Kingdom",2,6,10,10,10,6,18,5,NA
"Albania","Armenia",12,24,14,3,25,15,9,NA,2
"Armenia","Belgium",12,6,9,6,6,7,17,4,NA
"Armenia","Czech Republic",13,14,12,8,9,10,18,1,NA
"Armenia","The Netherlands",11,12,14,16,10,11,11,NA,NA
"Armenia","Azerbaijan",25,25,25,19,25,25,25,NA,NA
"Armenia","Hungary",23,22,10,22,11,18,8,NA,3
"Armenia","Italy",14,13,19,25,20,20,14,NA,NA
"Armenia","Israel",20,24,22,17,24,24,24,NA,NA
"Armenia","Bulgaria",4,4,5,5,4,4,15,7,NA
"Armenia","Sweden",21,8,18,21,18,17,9,NA,2
"Armenia","Germany",22,23,20,18,15,21,19,NA,NA
"Armenia","France",1,1,1,1,1,1,4,12,7
"Armenia","Poland",24,10,24,24,22,23,10,NA,1
"Armenia","Australia",6,9,6,9,8,6,12,5,NA
"Armenia","Cyprus",10,3,4,3,5,5,5,6,6
"Armenia","Serbia",9,21,11,11,14,12,23,NA,NA
